thesaurus_title, gcmd_keyword
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Water Quality | Toxic Chemicals"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Winds | Surface Winds"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "FISHERIES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > PALEOCLIMATE > ICE CORE RECORDS > CARBON DIOXIDE"
"GCMD Keywords", "Earth Science | Oceans | Tides | Tidal Range"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Land Surface | Topography | Landforms"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > PRINCE EDWARD ISLANDS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > PROTISTS > AMOEBOIDS > FORAMINIFERS"
"NASA/GCMD Earth Science Keywords", "CONTINENT > AUSTRALIA/NEW ZEALAND > AUSTRALIA > McDonald Islands"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > VESTFOLD HILLS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Waves | Wave Speed/direction"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/INVERTEBRATES | ARTHROPODS | CRUSTACEANS"
"NASA/GCMD Earth Science Keywords", "GAS CHROMATOGRAPHS"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Organic Carbon"
"NASA/GCMD Earth Science Keywords", "DOAS > Differential Optical Absorption Spectrometers"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Atmosphere | Air Quality | Emissions"
"GCMD Keywords", "Earth Science | Cryosphere | Sea Ice"
"GCMD Keywords", "Earth Science | Atmosphere | Clouds | Cloud Radiative Transfer | Cloud Reflectance"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES > MAMMALS > CETACEANS"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "OCEAN WAVES"
"Global Change Master Directory v5.3.8", "Oceans | Coastal Processes | Beaches"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | BATHYMETRY/SEAFLOOR TOPOGRAPHY | SEAFLOOR TOPOGRAPHY"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | LAND SURFACE | GEOMORPHOLOGY"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CRYOSPHERE > SEA ICE > SNOW DEPTH"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ENVIRONMENTAL ADVISORIES > MARINE ADVISORIES > MARINE BIOLOGY"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > MARINE SEDIMENTS > BIOGENIC SEDIMENTS"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Oceans | Coastal Processes | Estuaries"
"GCMD Keywords", "Earth Science | Atmosphere | Aerosols | Sulfate Particles"
"GCMD Keywords", "Earth Science | Agriculture | Forest Science | Afforestation/Reforestation"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | SALINITY/DENSITY | PYCNOCLINE"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | OCEAN CHEMISTRY | PIGMENTS | CHLOROPHYLL"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Biosphere | Ecological Dynamics | Primary Production"
"GCMD Keywords", "Earth Science | Solid Earth | Geochemistry | Biogeochemical Processes"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > DALTON POLYNYA"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | CLIMATE INDICATORS | ATMOSPHERIC/OCEAN INDICATORS | OCEAN UPWELLING/DOWNWELLING"
"GCMD Keywords", "Earth Science | Biological Classification | Plants"
"GCMD Keywords", "Earth Science Services | Environmental Advisories | Marine Advisories | Sea State"
"Global Change Master Directory Earth Sciences Keywords v.5.3.8", "Biosphere | Zoology | Crustaceans"
"GCMD Keywords", "Earth Science | Biological Classification | Protists | Slime Molds"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Coastal Processes | Intertidal Zone"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Circulation | Eddies"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS | TERRESTRIAL ECOSYSTEMS | ISLANDS"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Biosphere | Aquatic Habitat | Reef Habitat"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Chemistry | Suspended Solids"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | BIOSPHERE | AQUATIC ECOSYSTEMS | MARINE HABITAT"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > PLANTS > MOSSES/HORNWORTS/LIVERWORTS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > FUNGI > LICHENS"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | CLIMATE INDICATORS | ATMOSPHERIC/OCEAN INDICATORS | TELECONNECTIONS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Chemistry | pH"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | AGRICULTURE | SOILS | MICROFLORA"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Antarctic Peninsula"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > CASEY STATION"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > Southern Kerguelen Plateau"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Biosphere | Ecological Dynamics | Symbiosis"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Oceans | Ocean Pressure | Water Pressure"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/VERTEBRATES | REPTILES | LIZARDS/SNAKES"
"NASA/GCMD Earth Science Keywords", "IFSAR > Interferometric Synthetic Aperture Radar"
"NASA/GCMD Earth Science Keywords", "DATA COLLECTIONS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > AGRICULTURE > ANIMAL SCIENCE > ANIMAL ECOLOGY AND BEHAVIOR"
"Global Change Master Directory Earth Science Keywords", "Human Dimensions | Attitudes,preferences,behavior | Social Behavior"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Ocean Circulation | Wind-driven Circulation"
"NASA/GCMD Earth Science Keywords", "CONTINENT > AUSTRALIA/NEW ZEALAND > AUSTRALIA > Flinders Island"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/INVERTEBRATES > ARTHROPODS > CRUSTACEANS > ISOPODS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Land Surface | Geomorphology"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Human Dimensions | Environmental Impacts | Industrial Emissions"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Biosphere | Ecological Dynamics | Population Dynamics"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN PRESSURE"
"GCMD Keywords", "Earth Science | Biological Classification | Animals/Vertebrates | Fish | Ray-Finned Fishes | Cods/Haddocks"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Chemistry | oxygen"
"GCMD Keywords", "Earth Science | Atmosphere | Aerosols | Particulate Matter"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Biosphere | Animal Taxonomy | Zooplankton"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Water Quality | Conductivity"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Land Surface | Geomorphology"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > RAUER GROUP"
